TempCli,renda,tot_emprestimo_liquidado,tot_emprestimo_ativo,carteira,tot_parcela_ativa_em_dia,tot_parcela_ativa_atrasada,tot_parcela_pago_em_dia,atraso_min,atraso_mid,atraso_max,class
143,9613.33,0,1,0.0000000,0,1,0,0,0,0,Ruim
155,800.00,1,0,0.0000000,0,0,0,0,0,0,Ruim
135,11807.50,1,0,0.0000000,0,0,65,6,0,0,Ruim
173,800.00,1,0,0.0000000,0,0,0,1,0,0,Ruim
83,4000.00,1,0,0.0000000,0,0,0,0,0,0,Ruim
166,880.00,1,0,0.0000000,0,0,0,0,0,0,Ruim
170,2500.00,2,0,0.0000000,0,0,0,0,0,0,Ruim
123,4430.84,1,1,5849.0200000,15,32,2,16,5,5,Ruim
182,5383.33,4,0,0.0000000,0,0,2,2,1,0,Ruim
109,423.68,1,0,0.0000000,0,0,4,28,0,1,Ruim
138,1933.33,1,0,0.0000000,0,0,21,46,1,3,Ruim
169,800.00,7,0,0.0000000,0,0,0,0,0,0,Ruim
129,2166.67,1,0,0.0000000,0,0,0,0,0,0,Ruim
132,10066.67,0,0,0.0000000,0,1,0,0,0,0,Ruim
168,18620.00,1,0,0.0000000,0,0,0,0,0,0,Ruim
71,1000.00,0,1,0.0000000,0,10,19,13,1,3,Ruim
171,6732.50,0,1,0.0000000,0,1,0,0,0,0,Ruim
88,4600.00,0,1,0.0000000,0,1,0,0,0,0,Ruim
166,800.00,1,0,0.0000000,0,0,1,1,0,0,Ruim
137,5780.00,2,0,0.0000000,0,0,0,0,0,0,Ruim
182,5046.00,1,0,0.0000000,0,0,1,1,0,0,Ruim
106,1500.00,1,0,0.0000000,0,0,1,1,0,0,Ruim
154,333.33,2,0,0.0000000,0,0,0,0,0,0,Ruim
150,625.00,1,0,0.0000000,0,0,26,19,2,3,Ruim
150,625.00,0,1,0.0000000,0,3,0,6,0,2,Ruim
182,1875.00,3,0,0.0000000,0,0,0,0,0,0,Ruim
144,800.00,2,0,0.0000000,0,0,0,0,0,1,Ruim
95,910.00,1,0,0.0000000,0,0,0,0,0,0,Ruim
166,666.67,1,0,0.0000000,0,0,0,1,0,0,Ruim
163,583.33,5,0,0.0000000,0,0,0,0,0,0,Ruim
92,9800.00,0,0,0.0000000,0,1,0,0,0,0,Ruim
106,20833.33,0,1,0.0000000,0,14,4,39,1,2,Ruim
93,5949.67,1,0,0.0000000,0,0,2,2,0,0,Ruim
96,465.00,1,0,0.0000000,0,0,5,5,0,0,Ruim
155,800.00,2,0,0.0000000,0,0,5,1,0,2,Ruim
171,800.00,1,0,0.0000000,0,0,4,1,0,1,Ruim
133,800.00,6,0,0.0000000,0,0,10,5,1,2,Ruim
182,800.00,2,0,0.0000000,0,0,2,1,0,0,Ruim
155,17333.33,0,1,0.0000000,0,1,0,0,0,0,Ruim
83,3670.00,1,0,0.0000000,0,0,3,12,1,1,Ruim
101,415.00,1,0,0.0000000,0,0,1,3,1,0,Ruim
166,1833.33,1,0,0.0000000,0,0,0,0,0,0,Ruim
81,100.00,1,0,0.0000000,0,0,0,0,0,0,Ruim
133,8865.83,0,1,0.0000000,0,1,0,0,0,0,Ruim
171,1000.00,1,0,0.0000000,0,0,0,1,0,0,Ruim
107,850.00,1,0,0.0000000,0,0,0,0,0,0,Ruim
66,1116.92,0,1,0.0000000,0,6,1,8,0,2,Ruim
168,4500.00,0,0,0.0000000,0,1,0,0,0,0,Ruim
152,1000.00,1,0,0.0000000,0,0,4,7,0,0,Ruim
106,0.01,1,0,0.0000000,0,0,0,0,0,0,Ruim
154,180497.28,0,1,0.0000000,0,1,0,0,0,0,Ruim
35,214041.56,0,1,0.0000000,0,1,0,0,0,0,Ruim
54,36000.00,0,2,0.0000000,0,37,11,7,0,1,Ruim
72,60000.00,1,0,0.0000000,0,1,5,3,0,2,Ruim
51,12000.00,0,1,0.0000000,0,1,0,0,0,0,Ruim
